X,Y,id,pk_uid,cod_stz,den_uff,cod_gnz,x_stz,y_stz,tip_gnz,gnz,org,origine,indirizzo,comune,provincia,gestore,categoria,cod_sta,data_agg,data_elab,icon_url
10.6629463865876,43.3285769175962,"100","100",RTT0900115SF,CASINO DI TERRA,RTT0900115GK,"1634849.96","4798661.52","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,S.S. 68 - loc. Casino,Guardistallo,PI,RFI,bronze,"0100","20190904","20191024",./0.png
11.0376637355588,43.5471961253878,"101","101",RTT0902147SF,CERTALDO,RTT0902147GK,"1664636.96","4823615.34","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Piazza Masini n.2,Certaldo,FI,RFI,silver,"0100","20190904","20191024",./0.png
11.4461654785793,42.387641370671,"102","102",RTT0900028SF,CHIARONE,RTT0900028GK,"1701387.24","4695728.5","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via Litoranea,Capalbio,GR,,,"0200","20190904","20191024",./0.png
11.9579269638467,43.0024636784016,"103","103",RTT0900019SF,CHIUSI-CHIANCIANO TERME,RTT0900019GK,"1741124.92","4765348.81","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Piazza Dante,Chiusi,SI,RFI,silver,"0100","20190904","20191024",./0.png
11.7693868427069,43.40127857347,"104","104",RTT0903662SF,CIVITELLA BADIA A PINO,RTT0903831GK,"1724289.703209","4809117.992043","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0300",da ortofoto,Via Antonio Gramsci,Civitella in Val di Chiana,AR,TFT,,"0100","20190904","20191024",./0.png
10.4705188812659,43.586606050189,"105","105",RTT0900102SF,COLLESALVETTI,RTT0900102GK,"1618742.816875","4827025.845533","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via Pisana Livornese,Collesalvetti,LI,,,"0200","20190904","20191024",./0.png
11.3586386696961,43.7825162881221,"106","106",RTT0900050SF,COMPIOBBI,RTT0900050GK,"1689824.05","4850437.47","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via della Stazione,Fiesole,FI,RFI,bronze,"0100","20190904","20191024",./0.png
11.531505101657,43.865286735833,"107","107",RTT0901668SF,CONTEA-LONDA,RTT0901668GK,"1703453.396161","4860041.817523","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via Nazionale,Dicomano,FI,RFI,silver,"0100","20190904","20191024",./0.png
10.9199365482048,43.9940904892893,"108","108",RTT0901221SF,CORBEZZI,RTT0901221GK,"1653975.5","4873024.75","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via Stazione di Corbezzi 4,Pistoia,PT,RFI,bronze,"0100","20190904","20191024",./0.png
11.8257220499039,43.6859740990741,"109","109",RTT0902029SF,CORSALONE,RTT0902029GK,"1727776.82","4840891.73","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,C.S. Casello,Bibbiena,AR,TFT,,"0100","20190904","20191024",./0.png
11.5484428592282,44.0417997269614,"110","110",RTT0902753SF,CRESPINO DEL LAMONE,RTT0902753GK,"1704208.93","4879689.51","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via della Stazione,Marradi,FI,RFI,bronze,"0100","20190904","20191024",./0.png
11.4066211771089,43.2429335940451,"111","111",RTT0900089SF,CUNA,RTT0900089GK,"1695419.177989","4790619.522469","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via Comunale,Monteroni d'Arbia,SI,,,"0200","20190904","20191024",./0.png
11.5191818833606,43.8934786684745,"112","112",RTT0901665SF,DICOMANO,RTT0901665GK,"1702367.622134","4863142.887152","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via Nazionale,Dicomano,FI,RFI,silver,"0100","20190904","20191024",./0.png
